FILENAME	high-conf(ACTG)	perc	low-conf(actg)	perc	fail(N)	perc	insertions(-)	perc	no coverage(.)	perc	total
homo_sapiens_ancestor_1.fa	205127211	82.30%	11733018	4.71%	792563	0.32%	3167157	1.27%	28430672	11.41%	249250621
homo_sapiens_ancestor_10.fa	119695928	88.31%	7445134	5.49%	504231	0.37%	1524272	1.12%	6365182	4.70%	135534747
homo_sapiens_ancestor_11.fa	118274202	87.61%	7396415	5.48%	649414	0.48%	1717329	1.27%	6969156	5.16%	135006516
homo_sapiens_ancestor_12.fa	120472719	90.00%	6033297	4.51%	286089	0.21%	1529362	1.14%	5530428	4.13%	133851895
homo_sapiens_ancestor_13.fa	89504886	77.72%	4139410	3.59%	256797	0.22%	1298737	1.13%	19970048	17.34%	115169878
homo_sapiens_ancestor_14.fa	81214801	75.65%	4382126	4.08%	249286	0.23%	1086589	1.01%	20416738	19.02%	107349540
homo_sapiens_ancestor_15.fa	73462551	71.65%	4364943	4.26%	267061	0.26%	771131	0.75%	23665706	23.08%	102531392
homo_sapiens_ancestor_16.fa	68123663	75.40%	5833005	6.46%	303799	0.34%	951400	1.05%	15142886	16.76%	90354753
homo_sapiens_ancestor_17.fa	68602325	84.49%	5882047	7.24%	495989	0.61%	1004165	1.24%	5210684	6.42%	81195210
homo_sapiens_ancestor_18.fa	70254400	89.98%	2611628	3.34%	65095	0.08%	975760	1.25%	4170365	5.34%	78077248
homo_sapiens_ancestor_19.fa	41750031	70.61%	7353490	12.44%	716499	1.21%	1385821	2.34%	7923142	13.40%	59128983
homo_sapiens_ancestor_2.fa	219484783	90.25%	11560176	4.75%	770678	0.32%	3104979	1.28%	8278757	3.40%	243199373
homo_sapiens_ancestor_20.fa	54753804	86.88%	2979618	4.73%	111116	0.18%	697086	1.11%	4483896	7.11%	63025520
homo_sapiens_ancestor_21.fa	31533331	65.52%	1643395	3.41%	28810	0.06%	496057	1.03%	14428302	29.98%	48129895
homo_sapiens_ancestor_22.fa	29055078	56.63%	3532551	6.89%	338576	0.66%	566490	1.10%	17811871	34.72%	51304566
homo_sapiens_ancestor_3.fa	183482831	92.66%	7602002	3.84%	371474	0.19%	2022792	1.02%	4543331	2.29%	198022430
homo_sapiens_ancestor_4.fa	174737137	91.41%	7838867	4.10%	560858	0.29%	2132599	1.12%	5884815	3.08%	191154276
homo_sapiens_ancestor_5.fa	165386197	91.42%	8100073	4.48%	447221	0.25%	2075040	1.15%	4906729	2.71%	180915260
homo_sapiens_ancestor_6.fa	157004164	91.75%	7108158	4.15%	730560	0.43%	1727010	1.01%	4545175	2.66%	171115067
homo_sapiens_ancestor_7.fa	140332985	88.18%	8352441	5.25%	614291	0.39%	1903838	1.20%	7935108	4.99%	159138663
homo_sapiens_ancestor_8.fa	131614141	89.92%	6544205	4.47%	183466	0.13%	1887851	1.29%	6134359	4.19%	146364022
homo_sapiens_ancestor_9.fa	105205836	74.50%	6823039	4.83%	212341	0.15%	2086173	1.48%	26886042	19.04%	141213431
homo_sapiens_ancestor_GL000191.1.fa	68811	64.65%	3020	2.84%	1	0.00%	124	0.12%	34477	32.39%	106433
homo_sapiens_ancestor_GL000192.1.fa	402316	73.48%	29285	5.35%	77	0.01%	7752	1.42%	108066	19.74%	547496
